time[s] x1[m] x2[m] x1_dot[m/s] x2_dot[m/s]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999999124e-05 3.714127852374646209e-08 4.463670532893731243e-15 7.428174737298360664e-04 1.343585465033290009e-10
1.100000000000000066e-03 4.493110082919240981e-06 6.537921057124020602e-12 8.168301530651324305e-03 1.842738383567285222e-08
1.110000000000000049e-02 4.564600024532989610e-04 1.283972045010601367e-08 8.213458839352991148e-02 4.081446050218065642e-06
6.065517346956830064e-02 1.343413743551342965e-02 6.990892252205456005e-06 4.383339102420786837e-01 4.435669272891698219e-04
1.606551734695683131e-01 9.019371021002019206e-02 3.061341355514691988e-04 1.075541285433204042e+00 7.418692950917080489e-03
2.606551734695683464e-01 2.226520175811569358e-01 2.001209541015625849e-03 1.532377588752088515e+00 2.960255180029120609e-02
3.606551734695683242e-01 3.881764058527935601e-01 6.920567579187219751e-03 1.744940533167100627e+00 7.245472288625377788e-02
4.606551734695683020e-01 5.661930906274583730e-01 1.722761102519866638e-02 1.784877236963691605e+00 1.372618708485846550e-01
5.606551734695682798e-01 7.374753325706191465e-01 3.503138991157453419e-02 1.595946348469249321e+00 2.216825529741502931e-01
6.606551734695682576e-01 8.771556508514251060e-01 6.200804545620838826e-02 1.172814178837920940e+00 3.192845994648866870e-01
7.606551734695682354e-01 9.708404589186891975e-01 9.899423120024195000e-02 7.007273060245871044e-01 4.200426981446644947e-01
8.606551734695682132e-01 1.017037848829834168e+00 1.457529658617804647e-01 2.290478058776199144e-01 5.128974171318821940e-01
9.606551734695681910e-01 1.019021074672969096e+00 2.009550249109740006e-01 -1.782414555115034438e-01 5.872503969567860471e-01
1.060655173469568169e+00 9.849111201225305701e-01 2.622856752017961868e-01 -4.749179358072851964e-01 6.341711417515167870e-01
1.160655173469568258e+00 9.302778245083288544e-01 3.266681064882976382e-01 -5.862539196932613494e-01 6.475936988134165517e-01
1.260655173469568346e+00 8.750795592202902373e-01 3.906156732565787548e-01 -4.837686192750151881e-01 6.255105166474730360e-01
1.360655173469568435e+00 8.367289544742247953e-01 4.506623187654231755e-01 -2.766767550539982468e-01 5.702813892163236531e-01
1.460655173469568524e+00 8.217408723352366273e-01 5.037433910892898936e-01 -1.608889015632852804e-02 4.872647951221203977e-01
1.560655173469568613e+00 8.332519021878467269e-01 5.474289512124833612e-01 2.432272200906050452e-01 3.836836402989607930e-01
1.660655173469568702e+00 8.697829407091945964e-01 5.800653698934258307e-01 4.800552144358530837e-01 2.676700327540303403e-01
1.760655173469568791e+00 9.273708280331359743e-01 6.008246222286146576e-01 6.631820576381672883e-01 1.474860191322875380e-01
1.860655173469568879e+00 1.000264996731711431e+00 6.096810651581213714e-01 7.800051931419330620e-01 3.082132681438411181e-02
1.960655173469568968e+00 1.079872586236334753e+00 6.073256537102347252e-01 7.909312535466481719e-01 -7.580465041101074053e-02
2.060655173469569057e+00 1.153760592692871789e+00 5.950091794443116422e-01 6.653478502005838457e-01 -1.678470847627907825e-01
2.160655173469569146e+00 1.209132182062906180e+00 5.743127552484765808e-01 4.229328154560575426e-01 -2.432721135459967599e-01
2.260655173469569235e+00 1.235135530000775361e+00 5.468986190648363888e-01 8.772384185845388815e-02 -3.024502569876821312e-01
2.360655173469569323e+00 1.225859511113930989e+00 5.142885047586377434e-01 -2.740094096080311070e-01 -3.476860006542515924e-01
2.460655173469569412e+00 1.180650674015223167e+00 4.777164125333762668e-01 -6.260807746976884136e-01 -3.822829511436535155e-01
2.560655173469569501e+00 1.103106073752224248e+00 4.380670782267658270e-01 -9.008197878456658536e-01 -4.097988664242250834e-01
2.660655173469569590e+00 1.005409538095006550e+00 3.959013044213379739e-01 -1.038601036056187921e+00 -4.329116359795243119e-01
2.760655173469569679e+00 8.974125227698939167e-01 3.515937981639521981e-01 -1.106094117190555837e+00 -4.527287228028288868e-01
2.860655173469569768e+00 7.876037207097704718e-01 3.054621495484636240e-01 -1.077190701963954167e+00 -4.693035807640280610e-01
2.960655173469569856e+00 6.844800556925632051e-01 2.578768750260430620e-01 -9.695847273282856005e-01 -4.815341364283702852e-01
3.060655173469569945e+00 5.967406822580525461e-01 2.093696096352025138e-01 -7.735410875698658373e-01 -4.873010067255686972e-01
