time[s] x1[m] x2[m] x1_dot[m/s] x2_dot[m/s]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999999124e-05 6.648008636842836705e-08 7.989731699175446544e-15 1.329554743235276644e-03 2.404917006183488249e-10
1.100000000000000066e-03 8.038400841565026842e-06 1.169833654653796322e-11 1.460958012352889246e-02 3.296809469859249913e-08
1.110000000000000049e-02 8.126780354141887805e-04 2.290027001130234108e-08 1.458402365445791438e-01 7.272442098721371438e-06
5.678597349146113915e-02 2.054815237647952819e-02 9.551036090369527398e-06 7.074643681533453465e-01 6.434229630499667526e-04
1.530799932720517953e-01 1.374677258682510117e-01 4.351953208600480949e-04 1.669670103494697244e+00 1.095888254127034243e-02
2.530799932720517731e-01 3.397788704030847429e-01 2.989802141729721880e-03 2.304585033497811963e+00 4.489855734451826674e-02
3.530799932720517509e-01 5.841733744893583546e-01 1.045602935663719930e-02 2.528452962606296595e+00 1.098259116306132543e-01
4.530799932720517287e-01 8.373377348498427519e-01 2.601245437969847835e-02 2.495165295398464878e+00 2.063164581245029994e-01
5.530799932720517065e-01 1.073809733562105961e+00 5.261935900106710917e-02 2.181202754216392314e+00 3.296317582170342764e-01
6.530799932720516843e-01 1.264022106857237482e+00 9.250856283375041844e-02 1.597409279869794307e+00 4.698781259070650140e-01
7.530799932720516621e-01 1.393996713775230933e+00 1.466916730828986548e-01 1.016261152631075415e+00 6.130311766133035301e-01
8.530799932720516399e-01 1.469047179006411241e+00 2.147304884173424910e-01 4.991809603120499483e-01 7.446929550213317039e-01
9.530799932720516177e-01 1.498125989355448162e+00 2.948153136012369169e-01 9.950233839826538862e-02 8.520008968026586693e-01
1.053079993272051595e+00 1.493079539802956601e+00 3.839738691949021732e-01 -1.662468341564078411e-01 9.247125500802662046e-01
1.153079993272051684e+00 1.471975999489562037e+00 4.783769187826109048e-01 -2.241766375434732228e-01 9.561569745412379362e-01
1.253079993272051773e+00 1.455736716956700372e+00 5.737569803444716454e-01 -6.660309545678411158e-02 9.443223852640706406e-01
1.353079993272051862e+00 1.460089475331907360e+00 6.658849646542978062e-01 1.447479244246091534e-01 8.918699968972563230e-01
1.453079993272051951e+00 1.484496785449803236e+00 7.509512411781822383e-01 3.434716798442363772e-01 8.040751452297425494e-01
1.553079993272052040e+00 1.526880458777294614e+00 8.257394711910429619e-01 4.943091457567890812e-01 6.874772833774303038e-01
1.653079993272052128e+00 1.582375972128150732e+00 8.877247560482736111e-01 6.086368500435590523e-01 5.492390886437225062e-01
1.753079993272052217e+00 1.647048225984172332e+00 9.351147848123770867e-01 6.813401861311365604e-01 3.968241516910712141e-01
1.853079993272052306e+00 1.717917954058371111e+00 9.668676887844199763e-01 7.284318442137306393e-01 2.377517181300868032e-01
