time[s] x1[m] x2[m] x1_dot[m/s] x2_dot[m/s]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999999124e-05 2.735932764407562631e-08 3.288054482660971243e-15 5.471848397456972792e-04 9.897234157597697182e-11
1.100000000000000066e-03 3.310267546704953017e-06 4.816549619243751389e-12 6.018453360231682155e-03 1.357617140195658025e-08
1.110000000000000049e-02 3.368152313609143337e-04 9.468879617752465534e-09 6.065800104071605164e-02 3.010862889652406164e-06
6.041044573595803074e-02 9.908326342308631379e-03 5.099482869518430385e-06 3.261192016261996174e-01 3.253014177197271432e-04
1.604104457359580294e-01 6.786263758864194418e-02 2.275061556956410721e-04 8.205906437143293264e-01 5.541915410983457892e-03
2.604104457359580627e-01 1.701367415672216388e-01 1.503808542266861330e-03 1.194837681225579651e+00 2.239620728970218022e-02
3.604104457359580405e-01 3.004366685678385163e-01 5.249213489187154295e-03 1.386404597257028470e+00 5.541133479271510148e-02
4.604104457359580183e-01 4.433581303308040678e-01 1.317403103542673024e-02 1.448070193462344779e+00 1.059825539056512556e-01
5.604104457359579960e-01 5.836777512379183186e-01 2.698782202577444320e-02 1.319653821593279819e+00 1.727007414328330381e-01
6.604104457359579738e-01 6.999617130819304478e-01 4.809615981188444800e-02 9.824397735665902909e-01 2.507576495853628407e-01
7.604104457359579516e-01 7.785770829904192780e-01 7.725141644975457023e-02 5.866933021266149684e-01 3.321492073836761483e-01
8.604104457359579294e-01 8.164592682959086467e-01 1.143323279793071884e-01 1.728756590706871377e-01 4.077249494555416631e-01
9.604104457359579072e-01 8.146445130356310127e-01 1.582992305346150874e-01 -2.016473474866599114e-01 4.684269240286590419e-01
1.060410445735957996e+00 7.788424662046453673e-01 2.072565114400133357e-01 -4.905172234696277278e-01 5.063636008037453173e-01
1.160410445735958085e+00 7.218874307509026700e-01 2.586227376538969835e-01 -6.206163392778987209e-01 5.159401280851760863e-01
1.260410445735958174e+00 6.614217490350470241e-01 3.094236669021119823e-01 -5.567582691726631339e-01 4.950296380100309146e-01
